Page, BounceRate
srslabs.com,0.5
twopair.com,0.5
firststopoutletonline.com,1.0
pinupgirlclothing.com,0.5
purchasingpower.com,1.0
cleverfiles.com,0.0
condomdepot.com,0.2727272727272727
itssimplyzen.com,0.5
domeslatkidome.com,0.0
dungarees.net,0.3333333333333333
blog.wix.com,0.0
241pizza.com,0.0
poptartsworld.com,0.0
destinationlighting.com,0.0
dzjbm.kyexa.servertrust.com,0.0
blockbusterprint.com,0.0
downyez.com,0.0
lastminute.travelocity.com,0.0
darlingdesignsboutique.com,0.0
igloo-store.com,0.5
canadavet.com,0.0
crazy-hack.com,0.0
newrelic.com,0.0
brassyapple.com,0.0
continuumcare.eu,0.0
medichest.com,0.0
fabuloustreet.com,1.0
ssense.com,0.0
battledawn.com,0.0
dodgers.mlb.com,0.5
auroraconcept.com,0.0
sabrinaramirez.mymarkstore.com,0.0
cardsandpockets.com,0.0
duffyspetfood.com,0.0
hygeniccorp.com,0.0
howloscream.com,0.0
libellulacreations.com,0.0
macheist.com,0.0
redvector.com,0.0
bodiestheexhibition.com,0.6666666666666666
caldrea.com,0.0
easebayresources.com,0.0
scapino.nl,0.0
aviaselect.com,0.0
outofprint.com,0.5
christmastrees.biz,0.5
milliondollarz.com,0.0
auth.youtube.com,0.0
sanderscandy.com,0.0
georgiabootstore.com,0.5
literatureandlatte.com,0.0
sterling-cars.com.au,0.0
artandartifact.com,0.0
thebabyplanetonline.com,0.0
loveitnotepads.com,1.0
amazingkidbirthdayparties.com,0.0
gainesville.com,1.0
my.casio.com,0.0
fastpartsnetwork.com,0.0
shoptwig.com,0.0
lovefashiononline.com,1.0
labellasera.nl,0.0
yellowmug.com,0.0
agilewebsolutions.com,0.5
swiftink.com,0.0
goldcrownawards.com,0.0
epritshop.com,0.0
wordpress.com,0.0
hankgraffdavison.com,0.0
hoodooshoes.com,0.0
alarm.com,0.0
baskinrobbins.com,0.25
softwaremarket.tapchipcworld.blogspot.com,0.0
irregularchoice.com,0.0
nycwax.com,0.0
biggerbuttpills.com,0.0
magsalmostfree.com,0.0
dearbornbaby.com,0.0
americanfloormats.com,0.0
nrastore.com,0.5
kidfriendlyweddings.com,0.0
snowblowersdirect.com,0.0
quickietools.com,0.0
usa.weleda.com,0.0
nartiqueglass.com,0.0
hugs-and-stitches.com,0.0
gordmans.com,0.25
dell.com.my,0.5
custompony.com,0.0
speed.io,0.0
precisiontune.com,0.0
massagewarehouse.com,0.3333333333333333
zinio.com,0.25
essential-luxuries.com,0.0
xtragamer.co.uk,0.0
healthypetoasis.com,0.0
nbsmokehouse.com,0.0
coloradobaggage.com,0.0
kirnazabete.com,0.0
nevershoutnever.com,0.0
xoticpc.com,0.0
gliks.com,0.0
red21boys.com,0.0
puplistings.com,0.0
blogs.www.allinklwith.us,0.0
endofthepipe.co.uk,0.0
betterspeech.com,0.0
logobarproducts.com,1.0
drleonards.com,0.0
rhinomart.com,0.0
debebians.com,0.0
seaworldsandiego.com,0.2857142857142857
compacc.com,0.0
ghilliesandstuff.com,0.0
johnthelegend.tamilrockers.com,0.0
indulgence-inc.com,0.0
pearsoned.co,0.0
search2.opry.com,0.0
buffaloruninn.com,0.0
skin-etc.com,0.0
gourmetvapor.com,0.0
buyincoins.com,0.3333333333333333
virb.com,0.0
comfyco.com,0.0
ilovebeauty.dk,0.0
playnow.bclc.com,0.0
usa.loccitane.com,0.0
mirnanoc.com,0.0
v-leds.com,0.3333333333333333
hostmeforever.net,0.0
jcwhitney.com,0.6666666666666666
passguide.com,1.0
jjdenim.com,0.0
hiwired.com,0.0
italysuits.com,0.0
net-a-portet.com,0.0
cigarsinternational.com,0.07692307692307693
e.g,0.0
jomadeals.com,0.0
stackideas.com,0.0
beautybridge.com,0.0
murad.com,0.0
linentablecloth.com,0.3333333333333333
optimizeyourcart.com,0.0
malwarebytes.org,0.0
vapur.us,0.0
videos-caseiros.com,0.0
matthewizzo.com,0.0
xenonservers.com,0.0
news.partylite.com,0.0
blogs.www.frederickpctech.com,0.0
bidclerk.com,0.0
umotorsinc.com,0.0
oxyclean.com,0.0
oehq.com,0.5
babobotanicals.com,0.0
cdwow.com,0.5
mediafour.com,0.0
nichewebsiteguide.com,0.0
costumecraze.com,0.5238095238095238
bachrach.com,0.0
johnnyseeds.com,0.0
www.greyhound.com,0.0
incorp.com,0.0
globalvisa.com,0.0
foyles.co.uk,0.0
hairextensions.com,0.0
additions,0.0
allpetsolutions.zoovy.com,0.0
dermablend.com,0.0
modasuite.com,0.0
jumpstart.com,0.0
capoeirabrasil.pl,0.0
shoeandfootcare.com,0.0
chocolaterapture.com,0.0
prohockeyequipment.com,0.0
511tactical.com,0.0
seenon.com,0.0
netsite.net,0.0
thisdayphotography.com,0.0
helptheabandoned.com,0.0
redheart.com,0.0
kellykettle.com,0.0
riptapparel.com,1.0
devotedtosport.co.uk,0.0
fredshomestore.com,0.0
coreperformance.com,0.0
wristbandconnection.com,0.5
spaweek.com,0.0
clarionhotel.com,0.0
kodakgallery.com,0.15
liveedit.com,0.0
hostingcon.com,0.0
nextscrubs.com,0.0
mgellerdiamonds.com,0.0
amwayglobal.com,0.0
lizacstore.com,0.0
texaschicksblogsandpics.com,0.0
allbrandsglasses.com,0.0
softscrub.com,0.0
broadway.com,0.0
linex.com,0.0
greatestsale.com,0.0
gourmetgiftbaskets.com,0.0
picturesongold.com,1.0
dermavita.com,0.0
proboardshop.com,0.0
tigerdirect.com,0.16666666666666666
swisscolony.com,0.2857142857142857
kurufootwear.com,0.0
itunes.www.lv090.com,0.0
ticketmaster.com,0.275
ajmoss.com,0.0
lids.com%,0.0
dragonfi.com,0.0
yogaaccessories.com,0.0
buschgardens.com,0.15
freedomlingerie.co.uk,0.0
householdfinancecoach.com,0.0
artprintsetc.com,0.0
weddingshop.theknot.com,0.125
kittywittycattoys.com,1.0
personallyyoursbooks.com,0.0
mrsnuff.com,0.0
ppepets.com,0.0
mochishop.com,0.0
ebay.co.uk,0.0
ergodepot.com,1.0
mygolfergifts.com,1.0
thompsonhotels.com,0.0
moonbeambaby.com,0.0
soundisolationstore.com,0.0
hunt360.net,0.0
bigpond.com,0.0
clogoutlet.com,0.5
endangerwear.com,0.0
vtechphones.com,1.0
newelectronx.com,0.0
juicycouture.com,0.125
rchobbyexplosion.com,0.0
freshbodymarket.com,0.0
hawthorn.com,0.0
gocrmsoftware.com,0.0
sccis.com,0.0
intergem.net,0.0
canadadrugcenter.com,1.0
socialpaintball.com,0.0
tigersports.com,1.0
shudoo.co.uk,0.0
lorisshoes.com,0.0
reviews.easycap.sk,0.0
acehardwareoutlet.com,0.25
gogglesgiant.com,0.0
chocosphere.com,0.5
uprinting.com,0.14285714285714285
demonoid.com,1.0
lowes.levolor.com,0.2857142857142857
pinkoliveboutique.com,0.0
disneydestinations.com,0.5
massnutrition.com,1.0
griotsgarage.com,0.0
cheaplubes.com,0.0
allyou.com,0.0
fredflair.com,0.0
thevacuumcenter.com,0.0
spiritvoyage.com,0.0
shermanshoes.com,1.0
www.tennisexpress.com,0.0
suburbanriot.com,0.0
clubbk.com,0.0
superhappypets.com,0.0
alphaindustries.com,0.0
catholicmatch.com,0.0
directwristbands.com,0.0
radiustoothbrush.com,1.0
fabric.com,0.4230769230769231
rockvaleoutletslancaster.com,0.0
redbubble.com,0.0
dainikee.com,0.0
mograne.com,0.0
simplybe.co.uk,0.0
kudzu.com,0.0
biggs.com,0.5
batterystuff.com,1.0
madman.com.au,0.0
nokia.com,1.0
casuallivingusa.com,0.3333333333333333
xxxblondewebgirls.com,0.0
myvoiceatbonton.com001504774628,1.0
canvasondemand.com,0.2
dyedinvermont.com,0.0
nationalrunningcenter.com,0.5
desitin.com,0.0
hurricaneshooters.com,0.0
food2gode.com,0.0
fantage.com,0.0
spiritair.com,0.358974358974359
brooksbrothers.com,0.2
foxshop.com,0.0
clubworldcasinos.com,0.0
duluthpack.com,0.0
lampsplus.com,0.3
drsfostersmith.com,0.30434782608695654
airrattle.com,0.0
lilypadbulbs.com,0.0
visionpros.com,0.0
czdaxue.com,0.0
glutensmart.com,0.0
limetedtoo.com,0.0
comedyschoolforless.com,0.0
gigp.com,0.0
steinersports.com,0.5
lenovo.com,0.16666666666666666
makingfriends.com,0.5
dupreycosmetics.com,0.0
en.gandi.net,0.0
habbo.com.sg,0.0
dollarsurveys.org,1.0
stockwiseauto.com,1.0
montgomeryward.com,0.0
echostore.net,0.0
amplifiedparts.com,0.0
jivejewelry.com,0.0
verobeachhotelandspa.com,1.0
frontpointsecurity.com,0.0
firstaiddiscounts.com,0.0
amazing-kid-birthday-parties.net,0.0
arnottindustries.com,0.0
drshoes.co.uk,0.0
bagittoday.com,1.0
phillybowl.net,0.0
sterlingtek.com,0.0
tattoogolf.com,0.0
domyownpestcontrol.com,0.0
kellycodetectors.com,0.0
desertwildlife.net,0.0
laredoute.usa,0.0
urbanoriginal.com,0.0
femconusa.com,0.0
sparesoles.com,0.0
ramada.com,0.25
developer.serwis-motoryzacyjny.eu,0.0
orangeonions.com,0.0
darvex.com,0.0
teacherexpress.scholastic.com,0.0
bestpriceglasses.com,1.0
ultimatelooks.com,0.0
worldofbears.com,0.0
kastawayswimwear.com,0.0
tradingreplica.com,0.0
youreyeslie.com,0.0
nonickel.com,0.0
charliebrowns.com,0.0
getcertify4less.com,0.0
businessnameusa.com,0.0
mehcquest.com,0.0
thatpetplace.com,0.0
upco.com,0.0
fadeaway23.com,0.0
store.smartdestinations.com,0.0
everafterstore.com,0.0
rickyshalloween.com,1.0
dsquared2.com,0.0
durablekicks.com,1.0
lanebryant.com,0.2222222222222222
more2net.com,1.0
gogoinflight.com,0.38461538461538464
northtownvolvoofbuffalo.com,0.0
zipvit.com,0.0
mgmmirage.com,0.0
amazone.com,0.0
tasteofchicago.com,0.0
birdseyefoods.com,0.0
gardenpartycollection.com,0.0
littlemonkeytoes.com,0.0
eltorito.com,0.0
jamster.co.uk,0.0
comedycentral.com,0.5
hotmale.com,0.0
shop.hm.com,0.0
storkgifts.com,0.0
emazinglights.com,0.375
highlightscatalog.com,0.0
mysilverstyles.com,0.0
thepopescologne.com,0.0
batyana.com,0.0
nysuperfan.com,0.0
shorthorncattle.org,0.0
urbanindustry.co.uk,0.0
myworldcoffee.com,0.0
sunleaf.myshopify.com,0.0
family-railcard.co.uk,0.0
devilsfilm.com,0.0
northcountrycottage.com,0.0
korbie.com,0.0
ifly.com,0.0
cedricpoitras.com,0.0
hobbypartz.com,0.0
mimeo.com,0.0
faithvisuals.com,0.0
champssports.com,0.3684210526315789
foxairsoft.com,0.3333333333333333
keylimecove.com,0.2
pandaexpress.com,0.3333333333333333
affordableofficefurniture.com,0.0
ibodyfit.com,0.0
allcdkey.com,0.0
ilead.survivingmesothelioma.masipud.net,0.0
fabfashionista.zoomshare.com,0.0
livescribe.com,0.0
surfanddirt.com,0.5
bestphoenixflooring.com,0.0
microscripts.info,1.0
funjewelri.com,0.0
empirepatiocovers.com,0.0
litecigusa.net,1.0
tryecignow.com,0.0
apeainthepod.com,0.0
