couponId,Hour,Minimum Clicks/Minute,Minimum Clicks Minute,Maximum C/Min,Maximum Clicks Minute,Mean C/min,Median C/min ,Sample Standard Deviation
2767962,00,0,0,1,42,0.016666666666666666,0.0,0.1290994448735806
2080126,00,0,0,1,52,0.016666666666666666,0.0,0.12909944487358058
2826187,00,0,0,3,11,0.16666666666666666,0.0,0.6152487898779877
S142294,00,0,0,1,18,0.03333333333333333,0.0,0.1810203347193924
2851267,00,0,0,3,25,0.21666666666666667,0.0,0.5848849420870964
2786556,00,0,0,1,5,0.06666666666666667,0.0,0.2515488742932315
902190,00,0,0,1,48,0.016666666666666666,0.0,0.12909944487358058
475052,00,0,0,1,26,0.016666666666666666,0.0,0.12909944487358066
2815055,00,0,0,4,15,0.1,0.0,0.5430610041581785
1966265,00,0,0,1,1,0.03333333333333333,0.0,0.18102033471939238
731870,00,0,0,1,4,0.016666666666666666,0.0,0.12909944487358072
2839044,00,0,0,1,24,0.05,0.0,0.2197841776510827
S249891,00,0,0,1,21,0.016666666666666666,0.0,0.12909944487358066
2709174,00,0,0,1,8,0.016666666666666666,0.0,0.12909944487358072
2744852,00,0,0,1,49,0.016666666666666666,0.0,0.12909944487358058
S142404,00,0,0,1,5,0.016666666666666666,0.0,0.12909944487358072
2621520,00,0,0,1,38,0.016666666666666666,0.0,0.1290994448735806
2841669,00,0,0,1,47,0.03333333333333333,0.0,0.1810203347193925
2799184,00,0,0,1,44,0.03333333333333333,0.0,0.1810203347193925
2758984,00,0,0,1,54,0.016666666666666666,0.0,0.12909944487358058
2846792,00,0,0,1,40,0.016666666666666666,0.0,0.1290994448735806
2738599,00,0,1,5,40,0.7666666666666667,1.0,0.9631633380788585
S141483,00,0,0,2,40,0.03333333333333333,0.0,0.2581988897471612
2801033,00,0,0,2,43,0.03333333333333333,0.0,0.2581988897471612
S142521,00,0,0,1,41,0.016666666666666666,0.0,0.1290994448735806
1308054,00,0,0,1,55,0.016666666666666666,0.0,0.12909944487358055
2706689,00,0,0,1,34,0.03333333333333333,0.0,0.18102033471939247
2599760,00,0,0,1,25,0.016666666666666666,0.0,0.12909944487358066
2641364,00,0,0,1,40,0.016666666666666666,0.0,0.1290994448735806
2791944,00,0,0,1,26,0.016666666666666666,0.0,0.12909944487358066
2088892,00,0,0,1,58,0.016666666666666666,0.0,0.12909944487358055
1686617,00,0,0,2,44,0.08333333333333333,0.0,0.33403880149460907
2845474,00,0,0,1,25,0.016666666666666666,0.0,0.12909944487358066
2623362,00,0,0,1,58,0.016666666666666666,0.0,0.12909944487358055
1121161,00,0,0,1,1,0.06666666666666667,0.0,0.25154887429323164
2835449,00,0,0,1,15,0.016666666666666666,0.0,0.1290994448735807
2666958,00,0,0,1,34,0.016666666666666666,0.0,0.12909944487358063
558970,00,0,0,1,14,0.016666666666666666,0.0,0.1290994448735807
2810068,00,0,0,1,46,0.03333333333333333,0.0,0.1810203347193925
1687570,00,0,0,1,4,0.016666666666666666,0.0,0.12909944487358072
988653,00,0,0,1,49,0.016666666666666666,0.0,0.12909944487358058
2850641,00,0,0,2,19,0.05,0.0,0.28671133537149995
2664178,00,0,0,1,32,0.016666666666666666,0.0,0.12909944487358063
2600339,00,0,0,1,3,0.016666666666666666,0.0,0.12909944487358072
2697448,00,0,0,1,35,0.016666666666666666,0.0,0.12909944487358063
2761703,00,0,0,1,6,0.016666666666666666,0.0,0.12909944487358072
2849407,00,0,0,1,22,0.016666666666666666,0.0,0.12909944487358066
2850770,00,0,0,1,11,0.03333333333333333,0.0,0.1810203347193924
1881707,00,0,0,1,41,0.016666666666666666,0.0,0.1290994448735806
2802313,00,0,0,1,28,0.016666666666666666,0.0,0.12909944487358063
2175177,00,0,0,1,9,0.016666666666666666,0.0,0.1290994448735807
2257238,00,0,0,1,1,0.016666666666666666,0.0,0.12909944487358072
2513740,00,0,0,1,36,0.016666666666666666,0.0,0.12909944487358063
2541308,00,0,0,1,38,0.016666666666666666,0.0,0.1290994448735806
2504315,00,0,0,2,59,0.03333333333333333,0.0,0.2581988897471611
S214564,00,0,0,1,41,0.016666666666666666,0.0,0.1290994448735806
2145153,00,0,0,2,4,0.03333333333333333,0.0,0.25819888974716143
2478172,00,0,0,1,53,0.016666666666666666,0.0,0.12909944487358058
2850683,00,0,0,2,30,0.08333333333333333,0.0,0.3340388014946091
2851260,00,0,1,5,46,0.9833333333333333,1.0,1.0655096125625882
2782837,00,0,0,1,30,0.016666666666666666,0.0,0.12909944487358063
2706737,00,0,0,1,37,0.03333333333333333,0.0,0.18102033471939247
2281347,00,0,0,1,7,0.13333333333333333,0.0,0.3428033318008816
1764515,00,0,0,1,57,0.016666666666666666,0.0,0.12909944487358055
S137228,00,0,0,1,16,0.016666666666666666,0.0,0.1290994448735807
2668443,00,0,0,2,51,0.08333333333333333,0.0,0.33403880149460907
2706652,00,0,0,2,57,0.06666666666666667,0.0,0.31172927556284774
2304676,00,0,0,1,4,0.016666666666666666,0.0,0.12909944487358072
301146,00,0,0,1,44,0.016666666666666666,0.0,0.1290994448735806
2775303,00,0,0,1,50,0.016666666666666666,0.0,0.12909944487358058
1901034,00,0,0,1,48,0.016666666666666666,0.0,0.12909944487358058
S179150,00,0,0,1,13,0.016666666666666666,0.0,0.1290994448735807
2846515,00,0,0,1,33,0.016666666666666666,0.0,0.12909944487358063
2839781,00,0,0,1,1,0.016666666666666666,0.0,0.12909944487358072
S138153,00,0,0,1,31,0.05,0.0,0.2197841776510827
2790875,00,0,0,1,27,0.016666666666666666,0.0,0.12909944487358063
2757014,00,0,0,1,43,0.016666666666666666,0.0,0.1290994448735806
2850577,00,0,0,1,57,0.016666666666666666,0.0,0.12909944487358055
S163657,00,0,0,1,43,0.016666666666666666,0.0,0.1290994448735806
2556252,00,0,0,1,3,0.016666666666666666,0.0,0.12909944487358072
S213558,00,0,1,1,0,0.03333333333333333,0.0,0.18102033471939238
2823897,00,0,0,1,2,0.016666666666666666,0.0,0.12909944487358072
2837651,00,0,0,3,13,0.05,0.0,0.3872983346207412
1587340,00,0,0,1,37,0.016666666666666666,0.0,0.12909944487358063
2475449,00,0,0,2,2,0.11666666666666667,0.0,0.3724252474950532
S154045,00,0,0,1,9,0.016666666666666666,0.0,0.1290994448735807
1394410,00,0,0,1,58,0.016666666666666666,0.0,0.12909944487358055
2764829,00,0,0,1,52,0.016666666666666666,0.0,0.12909944487358058
2517534,00,0,0,1,26,0.016666666666666666,0.0,0.12909944487358066
1728246,00,0,0,1,31,0.016666666666666666,0.0,0.12909944487358063
2476005,00,0,0,1,27,0.016666666666666666,0.0,0.12909944487358063
2843773,00,0,0,1,38,0.03333333333333333,0.0,0.18102033471939247
1512921,00,0,0,1,5,0.016666666666666666,0.0,0.12909944487358072
2150140,00,0,0,1,55,0.016666666666666666,0.0,0.12909944487358055
2479040,00,0,1,1,0,0.35,0.0,0.4809947319913076
1856124,00,0,0,1,30,0.016666666666666666,0.0,0.12909944487358063
2489097,00,0,0,2,27,0.06666666666666667,0.0,0.3117292755628476
1787100,00,0,0,1,25,0.016666666666666666,0.0,0.12909944487358066
